Brand,Country,Status,Wikipedia Page
Zanella,Argentina,Active brands,https://en.wikipedia.org/wiki/Zanella
Anasagasti,Argentina,Former brands,https://en.wikipedia.org/wiki/Anasagasti
Andino,Argentina,Former brands,https://en.wikipedia.org/wiki/Andino
ASA,Argentina,Former brands,https://en.wikipedia.org/wiki/ASA_(automobile)
Eniak,Argentina,Former brands,https://en.wikipedia.org/wiki/Eniak_Antique
Hispano-Argentina,Argentina,Former brands,https://en.wikipedia.org/wiki/Hispano-Argentina
Industrias Aeronáuticas y Mecánicas del Estado,Argentina,Former brands,https://en.wikipedia.org/wiki/Industrias_Aeron%C3%A1uticas_y_Mec%C3%A1nicas_del_Estado
Italian American Motor Engineering,Argentina,Former brands,https://en.wikipedia.org/wiki/Italian_American_Motor_Engineering
Industrias Kaiser Argentina,Argentina,Former brands,https://en.wikipedia.org/wiki/Industrias_Kaiser_Argentina
ErAZ,Armenia,,https://en.wikipedia.org/wiki/ErAZ
Bolwell,Australia,Active brands,https://en.wikipedia.org/wiki/Bolwell
Borland Racing Developments,Australia,Active brands,https://en.wikipedia.org/wiki/Borland_Racing_Developments
Bufori,Australia,Active brands,https://en.wikipedia.org/wiki/Bufori
Bullet,Australia,Active brands,https://en.wikipedia.org/wiki/Bullet_(car)
Devaux,Australia,Active brands,https://en.wikipedia.org/wiki/Devaux_Coupe
Elfin Cars,Australia,Active brands,https://en.wikipedia.org/wiki/Elfin_Cars
Finch Restorations,Australia,Active brands,https://en.wikipedia.org/wiki/Finch_Restorations
Jacer,Australia,Active brands,https://en.wikipedia.org/wiki/Jacer
Joss Developments,Australia,Active brands,https://en.wikipedia.org/wiki/Joss_Developments
Minetti Sports Cars,Australia,Active brands,https://en.wikipedia.org/wiki/Minetti_Sports_Cars
Nota,Australia,Active brands,https://en.wikipedia.org/wiki/Nota
PRB,Australia,Active brands,https://en.wikipedia.org/wiki/PRB_(car)
Puma Clubman,Australia,Active brands,https://en.wikipedia.org/wiki/Puma_Clubman
Python,Australia,Active brands,https://en.wikipedia.org/wiki/Python_(automobile_maker)
Quantum,Australia,Active brands,https://en.wikipedia.org/wiki/Quantum
Roaring Forties,Australia,Active brands,https://en.wikipedia.org/wiki/Roaring_Forties
Spartan-V,Australia,Active brands,https://en.wikipedia.org/wiki/Spartan-V
Stohr Cars,Australia,Active brands,https://en.wikipedia.org/wiki/Stohr_Cars
Alpha Sports,Australia,Former brands,https://en.wikipedia.org/wiki/Alpha_Sports
Ascort,Australia,Former brands,https://en.wikipedia.org/wiki/Ascort
Austin,Australia,Former brands,https://en.wikipedia.org/wiki/British_Motor_Corporation_(Australia)
Australian Six,Australia,Former brands,https://en.wikipedia.org/wiki/Australian_Six
Australis,Australia,Former brands,https://en.wikipedia.org/wiki/Australis_(automobile)
Birchfield,Australia,Former brands,https://en.wikipedia.org/wiki/Birchfield_(car)
Blade,Australia,Former brands,https://en.wikipedia.org/wiki/Blade_Electron
Buchanan,Australia,Former brands,https://en.wikipedia.org/wiki/Buchanan_(car)
Buckle,Australia,Former brands,https://en.wikipedia.org/wiki/Buckle_GT_Tourer
Bush Ranger,Australia,Former brands,https://en.wikipedia.org/wiki/Bush_Ranger_(car)
Caldwell Vale,Australia,Former brands,https://en.wikipedia.org/wiki/Caldwell_Vale
Cheetah,Australia,Former brands,https://en.wikipedia.org/wiki/Cheetah_Racing_Cars
Giocattolo,Australia,Former brands,https://en.wikipedia.org/wiki/Giocattolo
Goggomobil,Australia,Former brands,https://en.wikipedia.org/wiki/Goggomobil
Hartnett,Australia,Former brands,https://en.wikipedia.org/wiki/Laurence_Hartnett#Life_after_GMH
Holden,Australia,Former brands,https://en.wikipedia.org/wiki/Holden
HSV,Australia,Former brands,https://en.wikipedia.org/wiki/Holden_Special_Vehicles
Ilinga,Australia,Former brands,https://en.wikipedia.org/wiki/Ilinga
Kaditcha,Australia,Former brands,https://en.wikipedia.org/wiki/Kaditcha
Leyland,Australia,Former brands,https://en.wikipedia.org/wiki/British_Motor_Corporation_(Australia)
Lloyd-Hartnett,Australia,Former brands,https://en.wikipedia.org/wiki/Lloyd-Hartnett
Lonsdale,Australia,Former brands,https://en.wikipedia.org/wiki/Lonsdale_(car)
Mitsubishi Australia,Australia,Former brands,https://en.wikipedia.org/wiki/Mitsubishi_Australia
UK,Australia,Former brands,https://en.wikipedia.org/wiki/UK
Colt Car Company,Australia,Former brands,https://en.wikipedia.org/wiki/Colt_Car_Company
Pellandini,Australia,Former brands,https://en.wikipedia.org/wiki/Pellandini_Cars
Purvis Eureka,Australia,Former brands,https://en.wikipedia.org/wiki/Purvis_Eureka
Shrike,Australia,Former brands,https://en.wikipedia.org/wiki/Shrike_(racing_car)
Southern Cross,Australia,Former brands,https://en.wikipedia.org/wiki/Southern_Cross_(automobile)
Statesman,Australia,Former brands,https://en.wikipedia.org/wiki/Statesman_(automobile)
Tarrant,Australia,Former brands,https://en.wikipedia.org/wiki/Tarrant_automobile
Zeta,Australia,Former brands,https://en.wikipedia.org/wiki/Zeta_(automobile)
Eurostar Automobilwerk,Austria,Active brands,https://en.wikipedia.org/wiki/Eurostar_Automobilwerk
KTM,Austria,Active brands,https://en.wikipedia.org/wiki/KTM
Magna Steyr,Austria,Active brands,https://en.wikipedia.org/wiki/Magna_Steyr
ÖAF,Austria,Active brands,https://en.wikipedia.org/wiki/%C3%96AF
Puch,Austria,Active brands,https://en.wikipedia.org/wiki/Puch
Steyr Motors GmbH,Austria,Active brands,https://en.wikipedia.org/wiki/Steyr_Motors_GmbH
Rosenbauer,Austria,Active brands,https://en.wikipedia.org/wiki/Rosenbauer
Tushek&Spigel Supercars,Austria,Active brands,https://en.wikipedia.org/wiki/Tushek%26Spigel_Supercars
Austro-Daimler,Austria,Former brands,https://en.wikipedia.org/wiki/Austro-Daimler
Austro-Tatra,Austria,Former brands,https://en.wikipedia.org/wiki/Austro-Tatra
Custoca,Austria,Former brands,https://en.wikipedia.org/wiki/Custoca
Denzel,Austria,Former brands,https://en.wikipedia.org/wiki/Denzel_(automobile)
Felber Autoroller,Austria,Former brands,https://en.wikipedia.org/wiki/Felber_Autoroller
Gräf & Stift,Austria,Former brands,https://en.wikipedia.org/wiki/Gr%C3%A4f_%26_Stift
Grofri,Austria,Former brands,https://en.wikipedia.org/wiki/Grofri
Libelle,Austria,Former brands,https://en.wikipedia.org/wiki/Libelle_(microcar)
Lohner–Porsche,Austria,Former brands,https://en.wikipedia.org/wiki/Lohner%E2%80%93Porsche
Möve 101,Austria,Former brands,https://en.wikipedia.org/wiki/M%C3%B6ve_101
Steyr automobile,Austria,Former brands,https://en.wikipedia.org/wiki/Steyr_automobile
Steyr-Daimler-Puch,Austria,Former brands,https://en.wikipedia.org/wiki/Steyr-Daimler-Puch
GA,Azerbaijan,Active brands,https://en.wikipedia.org/wiki/Ganja_Auto_Plant
NAZ,Azerbaijan,Active brands,https://en.wikipedia.org/wiki/Nakhchivan_Automobile_Plant
Aziz,Azerbaijan,Former brands,https://en.wikipedia.org/wiki/AzSamand
Pragoti,Bangladesh,,https://en.wikipedia.org/wiki/Pragoti
Runner Automobiles,Bangladesh,,https://en.wikipedia.org/wiki/Runner_Automobiles
Uttara,Bangladesh,,https://en.wikipedia.org/wiki/Uttara_Group_of_Companies
Walton Motors,Bangladesh,,https://en.wikipedia.org/wiki/Walton_Motors
BelGee,Belarus,Active Brands,https://en.wikipedia.org/wiki/BelGee
Minsk Automobile Plant,Belarus,Active Brands,https://en.wikipedia.org/wiki/Minsk_Automobile_Plant
Ford Union,Belarus,Former Brands,https://en.wikipedia.org/wiki/Ford_Union
Edran,Belgium,Active brands,https://en.wikipedia.org/wiki/Edran
Gillet,Belgium,Active brands,https://en.wikipedia.org/wiki/Gillet
ADK,Belgium,Former brands,https://en.wikipedia.org/wiki/ADK_(automobile)
Alatac,Belgium,Former brands,https://en.wikipedia.org/wiki/Alatac
Apal,Belgium,Former brands,https://en.wikipedia.org/wiki/Apal
Astra,Belgium,Former brands,https://en.wikipedia.org/wiki/Astra_(1930_automobile)
Auto-Mixte,Belgium,Former brands,https://en.wikipedia.org/wiki/Auto-Mixte
De Wandre,Belgium,Former brands,https://en.wikipedia.org/wiki/De_Wandre
Delecroix,Belgium,Former brands,https://en.wikipedia.org/wiki/Delecroix
Excelsior,Belgium,Former brands,https://en.wikipedia.org/wiki/Compagnie_Nationale_Excelsior
Flaid,Belgium,Former brands,https://en.wikipedia.org/wiki/Flaid
Germain,Belgium,Former brands,https://en.wikipedia.org/wiki/Ateliers_Germain
Imperia,Belgium,Former brands,https://en.wikipedia.org/wiki/Imperia_Automobiles
Jeecy-Vea,Belgium,Former brands,https://en.wikipedia.org/wiki/Jeecy-Vea
Juwel,Belgium,Former brands,https://en.wikipedia.org/wiki/Juwel
Meeussen,Belgium,Former brands,https://en.wikipedia.org/wiki/Meeussen
Miesse,Belgium,Former brands,https://en.wikipedia.org/wiki/Miesse
Minerva,Belgium,Former brands,https://en.wikipedia.org/wiki/Minerva_(automobile)
Pieper,Belgium,Former brands,https://en.wikipedia.org/wiki/Pieper
Pipe,Belgium,Former brands,https://en.wikipedia.org/wiki/Pipe_(car)
Ranger,Belgium,Former brands,https://en.wikipedia.org/wiki/Ranger_(automobile)
General Motors,Belgium,Former brands,https://en.wikipedia.org/wiki/General_Motors
Royal Star,Belgium,Former brands,https://en.wikipedia.org/wiki/Royal_Star
Springuel,Belgium,Former brands,https://en.wikipedia.org/wiki/Springuel
Vincke,Belgium,Former brands,https://en.wikipedia.org/wiki/Vincke
Vivinus,Belgium,Former brands,https://en.wikipedia.org/wiki/Vivinus
Agrale,Brazil,Active brands,https://en.wikipedia.org/wiki/Agrale
Chamonix,Brazil,Active brands,https://en.wikipedia.org/wiki/Chamonix_(car)
TAC,Brazil,Active brands,https://en.wikipedia.org/wiki/Tecnologia_Automotiva_Catarinense
Volkswagen,Brazil,Active brands,https://en.wikipedia.org/wiki/Volkswagen_do_Brasil
Brasinca,Brazil,Former brands,https://en.wikipedia.org/wiki/Brasinca_Uirapuru
Dacon,Brazil,Former brands,https://en.wikipedia.org/wiki/Dacon
Dardo,Brazil,Former brands,https://en.wikipedia.org/wiki/Dardo_(automobile)
Engesa,Brazil,Former brands,https://en.wikipedia.org/wiki/Engesa
Fabral,Brazil,Former brands,https://en.wikipedia.org/wiki/Fabral
Farus,Brazil,Former brands,https://en.wikipedia.org/wiki/Farus
FNM,Brazil,Former brands,https://en.wikipedia.org/wiki/F%C3%A1brica_Nacional_de_Motores
Gurgel,Brazil,Former brands,https://en.wikipedia.org/wiki/Gurgel
Hofstetter,Brazil,Former brands,https://en.wikipedia.org/wiki/Hofstetter_turbo
Lobini,Brazil,Former brands,https://en.wikipedia.org/wiki/Lobini
MP Lafer,Brazil,Former brands,https://en.wikipedia.org/wiki/MP_Lafer
Puma,Brazil,Former brands,https://en.wikipedia.org/wiki/Puma_(car_manufacturer)
Santa Matilde,Brazil,Former brands,https://en.wikipedia.org/wiki/Santa_Matilde
Troller,Brazil,Former brands,https://en.wikipedia.org/wiki/Troller
Willys,Brazil,Former brands,https://en.wikipedia.org/wiki/Willys-Overland#The_Brazilian_era
Litex Motors,Bulgaria,Active brands,https://en.wikipedia.org/wiki/Litex_Motors
SIN Cars,Bulgaria,Active brands,https://en.wikipedia.org/wiki/SIN_Cars
Bulgaralpine,Bulgaria,Former brands,https://en.wikipedia.org/wiki/Bulgaralpine
Bulgarrenault,Bulgaria,Former brands,https://en.wikipedia.org/wiki/Bulgarrenault
Moskvitch,Bulgaria,Former brands,https://en.wikipedia.org/wiki/Moskvitch_(Bulgaria)
Pirin-Fiat,Bulgaria,Former brands,https://en.wikipedia.org/wiki/Pirin-Fiat
Sofia,Bulgaria,Former brands,https://en.wikipedia.org/wiki/Sofia_(car)
Intermeccanica,Canada,Active brands,https://en.wikipedia.org/wiki/Intermeccanica
Felino,Canada,Active brands,https://en.wikipedia.org/wiki/Felino_Corporation
Acadian,Canada,Former brands,https://en.wikipedia.org/wiki/Acadian_(automobile)
Amherst,Canada,Former brands,https://en.wikipedia.org/wiki/Amherst_(automobile)
Asüna,Canada,Former brands,https://en.wikipedia.org/wiki/As%C3%BCna
Beaumont,Canada,Former brands,https://en.wikipedia.org/wiki/Beaumont_(automobile)
Bricklin,Canada,Former brands,https://en.wikipedia.org/wiki/Bricklin_automobile
Brock,Canada,Former brands,https://en.wikipedia.org/wiki/Brock_Motors
Brooks,Canada,Former brands,https://en.wikipedia.org/wiki/Brooks_Steam_Motors
Canadian,Canada,Former brands,https://en.wikipedia.org/wiki/Colonial_Motors
Canadian Motor,Canada,Former brands,https://en.wikipedia.org/wiki/Canadian_Motor
Clinton,Canada,Former brands,https://en.wikipedia.org/wiki/Clinton_(automobile)
Colonial,Canada,Former brands,https://en.wikipedia.org/wiki/Colonial_Motors
Dominion Motors Frontenac,Canada,Former brands,https://en.wikipedia.org/wiki/Dominion_Motors_Frontenac
Envoy,Canada,Former brands,https://en.wikipedia.org/wiki/Envoy_(automobile)
Epic,Canada,Former brands,https://en.wikipedia.org/wiki/Envoy_(automobile)
Frontenac,Canada,Former brands,https://en.wikipedia.org/wiki/Frontenac_(marque)
Gareau,Canada,Former brands,https://en.wikipedia.org/wiki/Gareau
Gray-Dort,Canada,Former brands,https://en.wikipedia.org/wiki/Gray-Dort_Motors_Ltd.
London Six,Canada,Former brands,https://en.wikipedia.org/wiki/London_Motors
Manic GT,Canada,Former brands,https://en.wikipedia.org/wiki/Manic_GT
McLaughlin,Canada,Former brands,https://en.wikipedia.org/wiki/McLaughlin_Motor_Car_Company
Meteor,Canada,Former brands,https://en.wikipedia.org/wiki/Meteor_(car)
Monarch,Canada,Former brands,https://en.wikipedia.org/wiki/Monarch_(marque)
Moose Jaw Standard,Canada,Former brands,https://en.wikipedia.org/wiki/Moose_Jaw_Standard
Queen,Canada,Former brands,https://en.wikipedia.org/wiki/Queen_(Canadian_automobile)
Studebaker,Canada,Former brands,https://en.wikipedia.org/wiki/Studebaker_Canada_Ltd.
Tudhope,Canada,Former brands,https://en.wikipedia.org/wiki/James_Brockett_Tudhope
ZENN,Canada,Former brands,https://en.wikipedia.org/wiki/ZENN
Aiways,China,Active brands,https://en.wikipedia.org/wiki/Aiways
BAIC Group,China,Active brands,https://en.wikipedia.org/wiki/BAIC_Group
Arcfox,China,Active brands,https://en.wikipedia.org/wiki/Arcfox
Beijing,China,Active brands,https://en.wikipedia.org/wiki/BAIC_Motor
Beijing Off-road,China,Active brands,https://en.wikipedia.org/wiki/BAIC_Motor
Changhe,China,Active brands,https://en.wikipedia.org/wiki/Changhe
Foton,China,Active brands,https://en.wikipedia.org/wiki/Foton_Motor
Beijing Automobile Works,China,Active brands,https://en.wikipedia.org/wiki/BAW
BYD,China,Active brands,https://en.wikipedia.org/wiki/BYD_Auto
Denza,China,Active brands,https://en.wikipedia.org/wiki/Denza
Yangwang,China,Active brands,https://en.wikipedia.org/wiki/Yangwang
