Brand,Country,Status,Wikipedia Page
Zanella,Argentina,Active,https://en.wikipedia.org/wiki/Zanella
Anasagasti,Argentina,Former,https://en.wikipedia.org/wiki/Anasagasti
Andino,Argentina,Former,https://en.wikipedia.org/wiki/Andino
ASA (automobile),Argentina,Former,https://en.wikipedia.org/wiki/ASA_(automobile)
Eniak Antique,Argentina,Former,https://en.wikipedia.org/wiki/Eniak_Antique
Hispano-Argentina,Argentina,Former,https://en.wikipedia.org/wiki/Hispano-Argentina
Industrias Aeronáuticas y Mecánicas del Estado,Argentina,Former,https://en.wikipedia.org/wiki/Industrias_Aeron%C3%A1uticas_y_Mec%C3%A1nicas_del_Estado
Industrias Kaiser Argentina,Argentina,Former,https://en.wikipedia.org/wiki/Industrias_Kaiser_Argentina
ErAZ,Armenia,,https://en.wikipedia.org/wiki/ErAZ
Bolwell,Australia,Active,https://en.wikipedia.org/wiki/Bolwell
Borland Racing Developments,Australia,Active,https://en.wikipedia.org/wiki/Borland_Racing_Developments
Bufori,Australia,Active,https://en.wikipedia.org/wiki/Bufori
Bullet (car),Australia,Active,https://en.wikipedia.org/wiki/Bullet_(car)
Devaux Coupe,Australia,Active,https://en.wikipedia.org/wiki/Devaux_Coupe
Elfin Cars,Australia,Active,https://en.wikipedia.org/wiki/Elfin_Cars
Finch Restorations,Australia,Active,https://en.wikipedia.org/wiki/Finch_Restorations
Jacer,Australia,Active,https://en.wikipedia.org/wiki/Jacer
Joss Developments,Australia,Active,https://en.wikipedia.org/wiki/Joss_Developments
Minetti Sports Cars,Australia,Active,https://en.wikipedia.org/wiki/Minetti_Sports_Cars
Nota,Australia,Active,https://en.wikipedia.org/wiki/Nota
PRB (car),Australia,Active,https://en.wikipedia.org/wiki/PRB_(car)
Puma Clubman,Australia,Active,https://en.wikipedia.org/wiki/Puma_Clubman
Python (automobile maker),Australia,Active,https://en.wikipedia.org/wiki/Python_(automobile_maker)
Quantum,Australia,Active,https://en.wikipedia.org/wiki/Quantum
Roaring Forties,Australia,Active,https://en.wikipedia.org/wiki/Roaring_Forties
Spartan-V,Australia,Active,https://en.wikipedia.org/wiki/Spartan-V
Stohr Cars,Australia,Active,https://en.wikipedia.org/wiki/Stohr_Cars
Alpha Sports,Australia,Former,https://en.wikipedia.org/wiki/Alpha_Sports
Ascort,Australia,Former,https://en.wikipedia.org/wiki/Ascort
British Motor Corporation (Australia),Australia,Former,https://en.wikipedia.org/wiki/British_Motor_Corporation_(Australia)
Australian Six,Australia,Former,https://en.wikipedia.org/wiki/Australian_Six
Australis (automobile),Australia,Former,https://en.wikipedia.org/wiki/Australis_(automobile)
Birchfield (car),Australia,Former,https://en.wikipedia.org/wiki/Birchfield_(car)
Blade Electron,Australia,Former,https://en.wikipedia.org/wiki/Blade_Electron
Buchanan (car),Australia,Former,https://en.wikipedia.org/wiki/Buchanan_(car)
Buckle GT Tourer,Australia,Former,https://en.wikipedia.org/wiki/Buckle_GT_Tourer
Bush Ranger (car),Australia,Former,https://en.wikipedia.org/wiki/Bush_Ranger_(car)
Caldwell Vale,Australia,Former,https://en.wikipedia.org/wiki/Caldwell_Vale
Cheetah Racing Cars,Australia,Former,https://en.wikipedia.org/wiki/Cheetah_Racing_Cars
Giocattolo,Australia,Former,https://en.wikipedia.org/wiki/Giocattolo
Goggomobil,Australia,Former,https://en.wikipedia.org/wiki/Goggomobil
Laurence Hartnett,Australia,Former,https://en.wikipedia.org/wiki/Laurence_Hartnett#Life_after_GMH
Holden,Australia,Former,https://en.wikipedia.org/wiki/Holden
Holden Special Vehicles,Australia,Former,https://en.wikipedia.org/wiki/Holden_Special_Vehicles
Ilinga,Australia,Former,https://en.wikipedia.org/wiki/Ilinga
Kaditcha,Australia,Former,https://en.wikipedia.org/wiki/Kaditcha
British Motor Corporation (Australia),Australia,Former,https://en.wikipedia.org/wiki/British_Motor_Corporation_(Australia)
Lloyd-Hartnett,Australia,Former,https://en.wikipedia.org/wiki/Lloyd-Hartnett
Lonsdale (car),Australia,Former,https://en.wikipedia.org/wiki/Lonsdale_(car)
Pellandini Cars,Australia,Former,https://en.wikipedia.org/wiki/Pellandini_Cars
Purvis Eureka,Australia,Former,https://en.wikipedia.org/wiki/Purvis_Eureka
Shrike (racing car),Australia,Former,https://en.wikipedia.org/wiki/Shrike_(racing_car)
Southern Cross (automobile),Australia,Former,https://en.wikipedia.org/wiki/Southern_Cross_(automobile)
Statesman (automobile),Australia,Former,https://en.wikipedia.org/wiki/Statesman_(automobile)
Tarrant automobile,Australia,Former,https://en.wikipedia.org/wiki/Tarrant_automobile
Zeta (automobile),Australia,Former,https://en.wikipedia.org/wiki/Zeta_(automobile)
Eurostar Automobilwerk,Austria,Active,https://en.wikipedia.org/wiki/Eurostar_Automobilwerk
KTM,Austria,Active,https://en.wikipedia.org/wiki/KTM
Magna Steyr,Austria,Active,https://en.wikipedia.org/wiki/Magna_Steyr
ÖAF,Austria,Active,https://en.wikipedia.org/wiki/%C3%96AF
Puch,Austria,Active,https://en.wikipedia.org/wiki/Puch
Steyr Motors GmbH,Austria,Active,https://en.wikipedia.org/wiki/Steyr_Motors_GmbH
Rosenbauer,Austria,Active,https://en.wikipedia.org/wiki/Rosenbauer
Tushek&Spigel Supercars,Austria,Active,https://en.wikipedia.org/wiki/Tushek%26Spigel_Supercars
Austro-Daimler,Austria,Former,https://en.wikipedia.org/wiki/Austro-Daimler
Austro-Tatra,Austria,Former,https://en.wikipedia.org/wiki/Austro-Tatra
Custoca,Austria,Former,https://en.wikipedia.org/wiki/Custoca
Denzel (automobile),Austria,Former,https://en.wikipedia.org/wiki/Denzel_(automobile)
Felber Autoroller,Austria,Former,https://en.wikipedia.org/wiki/Felber_Autoroller
